,AGTP_ch4
596,3.4848768059441905e-15
597,3.4759471510606374e-15
598,3.467078898458645e-15
599,3.4582715661688893e-15
600,3.4495246761472495e-15
601,3.440837754242258e-15
602,3.4322103301628277e-15
603,3.4236419374462496e-15
604,3.415132113426452e-15
605,3.406680399202528e-15
606,3.398286339607526e-15
607,3.3899494831774953e-15
608,3.3816693821207998e-15
609,3.3734455922876785e-15
610,3.3652776731400618e-15
611,3.357165187721644e-15
612,3.3491077026282026e-15
613,3.341104787978162e-15
614,3.33315601738341e-15
615,3.3252609679203526e-15
616,3.3174192201012108e-15
617,3.3096303578455574e-15
618,3.3018939684520934e-15
619,3.2942096425706602e-15
620,3.286576974174479e-15
621,3.2789955605326285e-15
622,3.2714650021827517e-15
623,3.2639849029039896e-15
624,3.2565548696901374e-15
625,3.2491745127230286e-15
626,3.241843445346143e-15
627,3.234561284038432e-15
628,3.2273276483883587e-15
629,3.2201421610681657e-15
630,3.213004447808347e-15
631,3.2059141373723368e-15
632,3.1988708615314106e-15
633,3.191874255039799e-15
634,3.184923955609999e-15
635,3.178019603888303e-15
636,3.1711608434305225e-15
637,3.164347320677925e-15
638,3.157578684933362e-15
639,3.1508545883375998e-15
640,3.1441746858458497e-15
641,3.1375386352044956e-15
642,3.1309460969280065e-15
643,3.124396734276055e-15
644,3.1178902132308148e-15
645,3.1114262024744603e-15
646,3.10500437336684e-15
647,3.0986243999233482e-15
648,3.092285958792973e-15
649,3.0859887292365334e-15
650,3.0797323931050993e-15
651,3.073516634818579e-15
652,3.0673411413445074e-15
653,3.0612056021769866e-15
654,3.0551097093158242e-15
655,3.0490531572458297e-15
656,3.043035642916294e-15
657,3.0370568657206357e-15
658,3.0311165274762155e-15
659,3.0252143324043247e-15
660,3.0193499871103375e-15
661,3.0135232005640256e-15
662,3.0077336840800507e-15
663,3.001981151298595e-15
664,2.9962653181661805e-15
665,2.9905859029166324e-15
666,2.9849426260522046e-15
667,2.979335210324865e-15
668,2.973763380717732e-15
669,2.968226864426676e-15
670,2.9627253908420617e-15
671,2.957258691530652e-15
672,2.9518265002176593e-15
673,2.9464285527689486e-15
674,2.941064587173384e-15
675,2.9357343435253327e-15
676,2.930437564007303e-15
677,2.9251739928727342e-15
678,2.919943376428932e-15
679,2.9147454630201385e-15
680,2.9095800030107518e-15
681,2.9044467487686795e-15
682,2.899345454648834e-15
683,2.8942758769767688e-15
684,2.8892377740324376e-15
685,2.8842309060341144e-15
686,2.8792550351224145e-15
687,2.874309925344482e-15
688,2.8693953426382843e-15
689,2.864511054817049e-15
690,2.8596568315538313e-15
691,2.854832444366205e-15
692,2.850037666601086e-15
693,2.8452722734196743e-15
694,2.840536041782537e-15
695,2.8358287504347976e-15
696,2.8311501798914605e-15
697,2.8265001124228558e-15
698,2.821878332040202e-15
699,2.8172846244812934e-15
700,2.812718777196304e-15
701,2.80818057933371e-15
702,2.803669821726332e-15
703,2.799186296877491e-15
704,2.7947297989472785e-15
705,2.7903001237389486e-15
706,2.7858970686854125e-15
707,2.7815204328358558e-15
708,2.777170016842459e-15
709,2.7728456229472337e-15
710,2.7685470549689707e-15
711,2.764274118290287e-15
712,2.7600266198447954e-15
713,2.755804368104364e-15
714,2.7516071730664955e-15
715,2.7474348462418087e-15
716,2.743287200641618e-15
717,2.739164050765623e-15
718,2.7350652125896988e-15
719,2.7309905035537874e-15
720,2.7269397425498885e-15
721,2.722912749910156e-15
722,2.7189093473950846e-15
723,2.7149293581818052e-15
724,2.7109726068524673e-15
725,2.7070389193827283e-15
726,2.70312812313033e-15
727,2.699240046823776e-15
728,2.6953745205510985e-15
729,2.6915313757487256e-15
730,2.6877104451904337e-15
731,2.6839115629763954e-15
732,2.680134564522321e-15
733,2.6763792865486866e-15
734,2.672645567070049e-15
735,2.6689332453844616e-15
736,2.6652421620629623e-15
