,AGTP_ch4
941,1.918785669098647e-15
942,1.9173825713786823e-15
943,1.9159843378774195e-15
944,1.914590936546335e-15
945,1.913202335572629e-15
946,1.9118185033773816e-15
947,1.9104394086137225e-15
948,1.909065020165012e-15
949,1.907695307143043e-15
950,1.9063302388862526e-15
951,1.904969784957952e-15
952,1.9036139151445657e-15
953,1.9022625994538927e-15
954,1.9009158081133746e-15
955,1.89957351156838e-15
956,1.898235680480506e-15
957,1.8969022857258866e-15
958,1.8955732983935265e-15
959,1.8942486897836306e-15
960,1.8929284314059687e-15
961,1.8916124949782337e-15
962,1.8903008524244254e-15
963,1.888993475873245e-15
964,1.8876903376564986e-15
965,1.8863914103075177e-15
966,1.8850966665595906e-15
967,1.8838060793444085e-15
968,1.8825196217905203e-15
969,1.8812372672218073e-15
970,1.8799589891559583e-15
971,1.8786847613029713e-15
972,1.8774145575636546e-15
973,1.876148352028151e-15
974,1.8748861189744626e-15
975,1.8736278328669994e-15
976,1.8723734683551294e-15
977,1.8711230002717474e-15
978,1.8698764036318523e-15
979,1.868633653631134e-15
980,1.8673947256445795e-15
981,1.86615959522508e-15
982,1.864928238102056e-15
983,1.863700630180091e-15
984,1.8624767475375786e-15
985,1.861256566425379e-15
986,1.8600400632654835e-15
987,1.8588272146496945e-15
988,1.8576179973383142e-15
989,1.856412388258845e-15
990,1.855210364504695e-15
991,1.8540119033339037e-15
992,1.8528169821678692e-15
993,1.8516255785900887e-15
994,1.8504376703449134e-15
995,1.8492532353363033e-15
996,1.8480722516266036e-15
997,1.8468946974353227e-15
998,1.8457205511379258e-15
999,1.8445497912646292e-15
1000,1.843382396499219e-15
