,AGTP_n2o
609,1.1649237421092672e-13
610,1.1642197020348682e-13
611,1.1635160654790573e-13
612,1.1628128326887867e-13
613,1.1621100039083644e-13
614,1.1614075793794656e-13
615,1.1607055593411465e-13
616,1.1600039440298542e-13
617,1.159302733679441e-13
618,1.1586019285211742e-13
619,1.157901528783749e-13
620,1.1572015346933003e-13
621,1.156501946473414e-13
622,1.1558027643451377e-13
623,1.1551039885269946e-13
624,1.1544056192349937e-13
625,1.1537076566826407e-13
626,1.1530101010809498e-13
627,1.1523129526384563e-13
628,1.151616211561226e-13
629,1.1509198780528688e-13
630,1.150223952314546e-13
631,1.1495284345449864e-13
632,1.1488333249404936e-13
633,1.1481386236949595e-13
634,1.1474443309998725e-13
635,1.1467504470443326e-13
636,1.146056972015057e-13
637,1.145363906096397e-13
638,1.1446712494703429e-13
639,1.1439790023165396e-13
640,1.143287164812294e-13
641,1.1425957371325875e-13
642,1.141904719450086e-13
643,1.1412141119351505e-13
644,1.1405239147558474e-13
645,1.1398341280779597e-13
646,1.1391447520649965e-13
647,1.1384557868782046e-13
648,1.1377672326765777e-13
649,1.1370790896168665e-13
650,1.136391357853591e-13
651,1.1357040375390485e-13
652,1.1350171288233243e-13
653,1.1343306318543031e-13
654,1.1336445467776768e-13
655,1.1329588737369575e-13
656,1.1322736128734843e-13
657,1.1315887643264355e-13
658,1.1309043282328388e-13
659,1.130220304727578e-13
660,1.1295366939434074e-13
661,1.1288534960109579e-13
662,1.1281707110587482e-13
663,1.127488339213195e-13
664,1.1268063805986218e-13
665,1.1261248353372688e-13
666,1.1254437035493022e-13
667,1.124762985352825e-13
668,1.1240826808638848e-13
669,1.1234027901964839e-13
670,1.1227233134625901e-13
671,1.1220442507721437e-13
672,1.1213656022330689e-13
673,1.1206873679512817e-13
674,1.1200095480306996e-13
675,1.1193321425732526e-13
676,1.1186551516788885e-13
677,1.1179785754455857e-13
678,1.117302413969362e-13
679,1.1166266673442801e-13
680,1.1159513356624621e-13
681,1.1152764190140938e-13
682,1.1146019174874363e-13
683,1.1139278311688345e-13
684,1.113254160142725e-13
685,1.1125809044916465e-13
686,1.1119080642962477e-13
687,1.1112356396352961e-13
688,1.110563630585687e-13
689,1.1098920372224517e-13
690,1.109220859618768e-13
691,1.1085500978459667e-13
692,1.1078797519735407e-13
693,1.1072098220691548e-13
694,1.106540308198653e-13
695,1.1058712104260679e-13
696,1.1052025288136278e-13
697,1.1045342634217674e-13
698,1.1038664143091335e-13
699,1.1031989815325965e-13
700,1.1025319651472562e-13
701,1.1018653652064507e-13
702,1.1011991817617655e-13
703,1.1005334148630413e-13
704,1.099868064558382e-13
705,1.0992031308941634e-13
706,1.0985386139150403e-13
707,1.0978745136639565e-13
708,1.0972108301821509e-13
709,1.0965475635091665e-13
710,1.095884713682859e-13
711,1.0952222807394037e-13
712,1.0945602647133037e-13
713,1.0938986656373988e-13
714,1.0932374835428714e-13
715,1.0925767184592577e-13
716,1.091916370414451e-13
717,1.091256439434714e-13
718,1.0905969255446835e-13
719,1.0899378287673799e-13
720,1.0892791491242136e-13
721,1.0886208866349934e-13
722,1.0879630413179346e-13
723,1.0873056131896658e-13
724,1.086648602265237e-13
725,1.0859920085581261e-13
726,1.0853358320802485e-13
727,1.0846800728419626e-13
728,1.0840247308520787e-13
729,1.083369806117865e-13
730,1.0827152986450566e-13
731,1.0820612084378618e-13
732,1.0814075354989698e-13
733,1.080754279829558e-13
734,1.0801014414292994e-13
735,1.0794490202963702e-13
736,1.078797016427455e-13
737,1.0781454298177582e-13
738,1.0774942604610063e-13
739,1.0768435083494584e-13
740,1.0761931734739127e-13
741,1.075543255823712e-13
742,1.0748937553867533e-13
743,1.0742446721494928e-13
744,1.0735960060969534e-13
745,1.0729477572127327e-13
746,1.0722999254790082e-13
747,1.0716525108765459e-13
748,1.0710055133847068e-13
749,1.0703589329814523e-13
750,1.0697127696433532e-13
751,1.0690670233455952e-13
752,1.0684216940619868e-13
753,1.0677767817649638e-13
754,1.0671322864255993e-13
755,1.0664882080136069e-13
756,1.0658445464973504e-13
757,1.0652013018438491e-13
758,1.064558474018784e-13
759,1.0639160629865057e-13
760,1.0632740687100397e-13
761,1.062632491151093e-13
762,1.0619913302700627e-13
763,1.0613505860260394e-13
764,1.0607102583768156e-13
765,1.0600703472788926e-13
766,1.059430852687485e-13
767,1.0587917745565288e-13
768,1.0581531128386865e-13
769,1.0575148674853552e-13
770,1.0568770384466708e-13
771,1.0562396256715156e-13
772,1.0556026291075246e-13
773,1.0549660487010915e-13
774,1.0543298843973741e-13
775,1.0536941361403024e-13
776,1.0530588038725826e-13
777,1.0524238875357049e-13
778,1.0517893870699489e-13
779,1.0511553024143894e-13
780,1.0505216335069041e-13
781,1.0498883802841767e-13
782,1.049255542681706e-13
783,1.0486231206338102e-13
784,1.0479911140736329e-13
785,1.0473595229331502e-13
786,1.0467283471431749e-13
787,1.046097586633364e-13
788,1.0454672413322237e-13
789,1.0448373111671157e-13
790,1.0442077960642622e-13
791,1.0435786959487531e-13
792,1.0429500107445504e-13
793,1.0423217403744954e-13
794,1.0416938847603127e-13
795,1.0410664438226177e-13
796,1.0404394174809205e-13
797,1.0398128056536337e-13
798,1.0391866082580757e-13
799,1.0385608252104786e-13
800,1.0379354564259919e-13
801,1.0373105018186893e-13
802,1.036685961301574e-13
803,1.0360618347865835e-13
804,1.0354381221845963e-13
805,1.0348148234054366e-13
806,1.0341919383578798e-13
807,1.033569466949659e-13
808,1.0329474090874681e-13
809,1.0323257646769702e-13
810,1.0317045336228001e-13
811,1.031083715828572e-13
812,1.0304633111968839e-13
813,1.0298433196293219e-13
814,1.0292237410264674e-13
815,1.028604575287901e-13
816,1.0279858223122085e-13
817,1.0273674819969863e-13
818,1.0267495542388444e-13
819,1.0261320389334153e-13
