,AGTP_co2
596,4.160379036221443e-16
597,4.159413417265859e-16
598,4.158450735077654e-16
599,4.1574909811144743e-16
600,4.1565341468596915e-16
601,4.155580223822278e-16
602,4.154629203536698e-16
603,4.1536810775627865e-16
604,4.152735837485637e-16
605,4.151793474915491e-16
606,4.150853981487621e-16
607,4.1499173488622264e-16
608,4.1489835687243196e-16
609,4.148052632783618e-16
610,4.147124532774446e-16
611,4.1461992604556136e-16
612,4.145276807610328e-16
613,4.144357166046081e-16
614,4.1434403275945463e-16
615,4.1425262841114854e-16
616,4.141615027476642e-16
617,4.1407065495936427e-16
618,4.1398008423899023e-16
619,4.1388978978165217e-16
620,4.1379977078481985e-16
621,4.137100264483126e-16
622,4.1362055597429026e-16
623,4.1353135856724345e-16
624,4.1344243343398486e-16
625,4.1335377978363997e-16
626,4.132653968276374e-16
627,4.1317728377970055e-16
628,4.1308943985583875e-16
629,4.1300186427433806e-16
630,4.129145562557524e-16
631,4.1282751502289595e-16
632,4.127407398008333e-16
633,4.1265422981687145e-16
634,4.1256798430055183e-16
635,4.1248200248364103e-16
636,4.1239628360012346e-16
637,4.1231082688619244e-16
638,4.122256315802426e-16
639,4.121406969228613e-16
640,4.1205602215682126e-16
641,4.1197160652707164e-16
642,4.1188744928073146e-16
643,4.1180354966708074e-16
644,4.117199069375532e-16
645,4.116365203457286e-16
646,4.1155338914732506e-16
647,4.1147051260019117e-16
648,4.1138788996429936e-16
649,4.113055205017375e-16
650,4.1122340347670193e-16
651,4.111415381554902e-16
652,4.1105992380649386e-16
653,4.10978559700191e-16
654,4.108974451091387e-16
655,4.1081657930796715e-16
656,4.107359615733713e-16
657,4.1065559118410463e-16
658,4.1057546742097165e-16
659,4.104955895668214e-16
660,4.1041595690654064e-16
661,4.103365687270462e-16
662,4.102574243172796e-16
663,4.1017852296819887e-16
664,4.1009986397277296e-16
665,4.1002144662597445e-16
666,4.099432702247733e-16
667,4.098653340681302e-16
668,4.097876374569898e-16
669,4.0971017969427466e-16
670,4.096329600848788e-16
671,4.095559779356606e-16
672,4.094792325554377e-16
673,4.094027232549794e-16
674,4.0932644934700114e-16
675,4.0925041014615824e-16
676,4.091746049690393e-16
677,4.0909903313416066e-16
678,4.090236939619596e-16
679,4.0894858677478866e-16
680,4.088737108969095e-16
681,4.0879906565448686e-16
682,4.087246503755826e-16
683,4.086504643901497e-16
684,4.085765070300266e-16
685,4.0850277762893066e-16
686,4.0842927552245306e-16
687,4.083560000480527e-16
688,4.082829505450503e-16
689,4.082101263546225e-16
690,4.0813752681979676e-16
691,4.0806515128544483e-16
692,4.0799299909827785e-16
693,4.079210696068402e-16
694,4.0784936216150405e-16
695,4.0777787611446386e-16
696,4.077066108197306e-16
697,4.076355656331265e-16
698,4.075647399122796e-16
699,4.074941330166177e-16
700,4.0742374430736374e-16
701,4.073535731475296e-16
702,4.0728361890191136e-16
703,4.072138809370836e-16
704,4.07144358621394e-16
705,4.0707505132495816e-16
706,4.070059584196544e-16
707,4.069370792791184e-16
708,4.0686841327873763e-16
709,4.067999597956468e-16
710,4.0673171820872234e-16
711,4.0666368789857687e-16
712,4.065958682475547e-16
713,4.065282586397263e-16
714,4.0646085846088297e-16
715,4.0639366709853267e-16
716,4.0632668394189386e-16
717,4.062599083818914e-16
718,4.0619333981115083e-16
719,4.0612697762399376e-16
720,4.060608212164327e-16
721,4.0599486998616646e-16
722,4.0592912333257487e-16
723,4.058635806567137e-16
724,4.057982413613105e-16
725,4.057331048507589e-16
726,4.0566817053111453e-16
727,4.0560343781008934e-16
728,4.0553890609704774e-16
729,4.0547457480300085e-16
730,4.0541044334060257e-16
731,4.053465111241445e-16
732,4.0528277756955075e-16
733,4.05219242094374e-16
