,AGWP_n2o
669,1.861117849283327e-11
670,1.8631759873044713e-11
671,1.865232279029037e-11
672,1.867286725965708e-11
673,1.869339329622685e-11
674,1.8713900915076826e-11
675,1.8734390131279247e-11
676,1.8754860959901423e-11
677,1.8775313416005687e-11
678,1.879574751464937e-11
679,1.881616327088478e-11
680,1.8836560699759117e-11
681,1.885693981631452e-11
682,1.8877300635587972e-11
683,1.8897643172611288e-11
684,1.8917967442411076e-11
685,1.8938273460008716e-11
686,1.895856124042033e-11
687,1.8978830798656716e-11
688,1.8999082149723354e-11
689,1.9019315308620377e-11
690,1.90395302903425e-11
691,1.9059727109879025e-11
692,1.9079905782213792e-11
693,1.910006632232516e-11
694,1.912020874518595e-11
695,1.9140333065763456e-11
696,1.9160439299019384e-11
697,1.918052745990982e-11
698,1.9200597563385226e-11
699,1.9220649624390376e-11
700,1.9240683657864357e-11
701,1.926069967874051e-11
702,1.928069770194643e-11
703,1.9300677742403916e-11
704,1.9320639815028953e-11
705,1.934058393473167e-11
706,1.936051011641633e-11
707,1.9380418374981274e-11
708,1.9400308725318925e-11
709,1.9420181182315745e-11
710,1.9440035760852186e-11
711,1.945987247580269e-11
712,1.9479691342035667e-11
713,1.9499492374413438e-11
714,1.9519275587792216e-11
715,1.9539040997022095e-11
716,1.9558788616947018e-11
717,1.9578518462404728e-11
718,1.9598230548226767e-11
719,1.961792488923844e-11
720,1.963760150025877e-11
721,1.9657260396100517e-11
722,1.96769015915701e-11
723,1.969652510146761e-11
724,1.9716130940586757e-11
725,1.973571912371487e-11
726,1.9755289665632833e-11
727,1.9774842581115092e-11
728,1.9794377884929642e-11
729,1.981389559183796e-11
730,1.983339571659499e-11
731,1.9852878273949154e-11
732,1.9872343278642275e-11
733,1.9891790745409606e-11
734,1.9911220688979747e-11
735,1.9930633124074678e-11
736,1.9950028065409694e-11
737,1.9969405527693395e-11
738,1.9988765525627666e-11
739,2.0008108073907658e-11
740,2.0027433187221726e-11
741,2.0046740880251467e-11
742,2.0066031167671644e-11
743,2.008530406415019e-11
744,2.010455958434819e-11
745,2.0123797742919823e-11
746,2.0143018554512374e-11
747,2.0162222033766192e-11
748,2.0181408195314685e-11
749,2.0200577053784284e-11
750,2.0219728623794423e-11
751,2.0238862919957515e-11
752,2.025797995687893e-11
753,2.0277079749156983e-11
754,2.0296162311382902e-11
755,2.0315227658140805e-11
756,2.0334275804007695e-11
757,2.035330676355341e-11
758,2.0372320551340627e-11
759,2.0391317181924835e-11
760,2.0410296669854295e-11
761,2.0429259029670057e-11
762,2.0448204275905904e-11
763,2.046713242308835e-11
764,2.0486043485736607e-11
765,2.0504937478362584e-11
766,2.0523814415470842e-11
767,2.0542674311558583e-11
768,2.0561517181115662e-11
769,2.0580343038624494e-11
770,2.0599151898560128e-11
771,2.0617943775390147e-11
772,2.0636718683574676e-11
773,2.0655476637566397e-11
774,2.0674217651810474e-11
775,2.0692941740744562e-11
776,2.0711648918798792e-11
777,2.0730339200395742e-11
778,2.074901259995043e-11
779,2.0767669131870275e-11
780,2.0786308810555095e-11
781,2.0804931650397086e-11
782,2.08235376657808e-11
783,2.084212687108314e-11
784,2.086069928067331e-11
785,2.0879254908912835e-11
786,2.0897793770155524e-11
787,2.0916315878747452e-11
788,2.0934821249026934e-11
789,2.0953309895324543e-11
790,2.097178183196305e-11
791,2.0990237073257436e-11
792,2.1008675633514853e-11
793,2.102709752703462e-11
794,2.1045502768108216e-11
795,2.106389137101924e-11
796,2.1082263350043417e-11
797,2.1100618719448556e-11
798,2.111895749349456e-11
799,2.1137279686433392e-11
800,2.1155585312509063e-11
801,2.1173874385957634e-11
802,2.1192146921007152e-11
803,2.1210402931877696e-11
804,2.1228642432781315e-11
805,2.124686543792204e-11
806,2.1265071961495847e-11
807,2.128326201769065e-11
808,2.1301435620686293e-11
809,2.1319592784654528e-11
810,2.1337733523759003e-11
811,2.1355857852155244e-11
812,2.137396578399063e-11
813,2.1392057333404414e-11
814,2.1410132514527653e-11
815,2.142819134148325e-11
816,2.1446233828385896e-11
817,2.146425998934209e-11
818,2.1482269838450093e-11
819,2.1500263389799933e-11
820,2.1518240657473384e-11
821,2.1536201655543972e-11
822,2.1554146398076913e-11
823,2.1572074899129168e-11
824,2.158998717274935e-11
825,2.1607883232977787e-11
826,2.1625763093846462e-11
827,2.1643626769379004e-11
828,2.166147427359069e-11
829,2.1679305620488407e-11
830,2.1697120824070693e-11
831,2.1714919898327653e-11
832,2.1732702857240984e-11
833,2.1750469714783978e-11
834,2.1768220484921463e-11
835,2.1785955181609834e-11
836,2.180367381879703e-11
837,2.1821376410422484e-11
838,2.183906297041718e-11
839,2.185673351270358e-11
840,2.187438805119563e-11
841,2.1892026599798774e-11
842,2.19096491724099e-11
843,2.1927255782917368e-11
844,2.1944846445200952e-11
845,2.1962421173131878e-11
846,2.1979979980572787e-11
847,2.1997522881377715e-11
848,2.2015049889392107e-11
849,2.203256101845277e-11
850,2.2050056282387917e-11
851,2.20675356950171e-11
852,2.2084999270151204e-11
853,2.21024470215925e-11
854,2.211987896313454e-11
855,2.2137295108562234e-11
856,2.215469547165177e-11
857,2.217208006617064e-11
858,2.2189448905877634e-11
859,2.22068020045228e-11
860,2.2224139375847467e-11
861,2.2241461033584204e-11
862,2.2258766991456838e-11
863,2.2276057263180428e-11
864,2.2293331862461257e-11
865,2.231059080299681e-11
866,2.2327834098475802e-11
