,AGWP_co2
562,8.052425368103865e-16
563,8.04875834049192e-16
564,8.045099257297113e-16
565,8.041448097228045e-16
566,8.037804839053836e-16
567,8.034169461603908e-16
568,8.030541943767755e-16
569,8.026922264494731e-16
570,8.023310402793833e-16
571,8.01970633773349e-16
572,8.016110048441343e-16
573,8.012521514104038e-16
574,8.008940713967018e-16
575,8.005367627334311e-16
576,8.001802233568326e-16
577,7.998244512089655e-16
578,7.994694442376855e-16
579,7.991152003966266e-16
580,7.987617176451792e-16
581,7.984089939484723e-16
582,7.980570272773516e-16
583,7.977058156083623e-16
584,7.973553569237272e-16
585,7.970056492113302e-16
586,7.966566904646949e-16
587,7.963084786829664e-16
588,7.959610118708935e-16
589,7.956142880388084e-16
590,7.952683052026093e-16
591,7.949230613837406e-16
592,7.945785546091762e-16
593,7.942347829114004e-16
594,7.938917443283902e-16
595,7.935494369035963e-16
596,7.932078586859273e-16
597,7.928670077297292e-16
598,7.92526882094771e-16
599,7.92187479846224e-16
600,7.918487990546472e-16
601,7.91510837795968e-16
602,7.911735941514656e-16
603,7.908370662077547e-16
604,7.905012520567677e-16
605,7.901661497957379e-16
606,7.898317575271827e-16
607,7.894980733588875e-16
608,7.891650954038887e-16
609,7.888328217804568e-16
610,7.885012506120812e-16
611,7.881703800274521e-16
612,7.878402081604464e-16
613,7.8751073315011015e-16
614,7.871819531406427e-16
615,7.86853866281381e-16
616,7.865264707267844e-16
617,7.861997646364174e-16
618,7.858737461749353e-16
619,7.855484135120676e-16
620,7.852237648226035e-16
621,7.848997982863759e-16
622,7.845765120882457e-16
623,7.842539044180871e-16
624,7.839319734707722e-16
625,7.836107174461557e-16
626,7.832901345490605e-16
627,7.829702229892617e-16
628,7.826509809814726e-16
629,7.823324067453291e-16
630,7.8201449850537585e-16
631,7.816972544910508e-16
632,7.813806729366707e-16
633,7.810647520814169e-16
634,7.807494901693205e-16
635,7.804348854492482e-16
636,7.801209361748877e-16
637,7.798076406047338e-16
638,7.794949970020734e-16
639,7.791830036349727e-16
640,7.788716587762613e-16
641,7.7856096070352e-16
642,7.782509076990652e-16
643,7.779414980499365e-16
644,7.776327300478815e-16
645,7.773246019893429e-16
646,7.770171121754447e-16
