,AGWP_n2o
935,1.5140250871895348e-13
936,1.5126367103155828e-13
937,1.5112496065977765e-13
938,1.509863774868618e-13
939,1.5084792139616804e-13
940,1.5070959227116067e-13
941,1.5057138999541077e-13
942,1.5043331445259635e-13
943,1.5029536552650182e-13
944,1.5015754310101846e-13
945,1.500198470601438e-13
946,1.498822772879819e-13
947,1.4974483366874294e-13
948,1.4960751608674345e-13
949,1.4947032442640594e-13
950,1.4933325857225887e-13
951,1.491963184089367e-13
952,1.490595038211796e-13
953,1.4892281469383345e-13
954,1.4878625091184982e-13
955,1.4864981236028564e-13
956,1.4851349892430325e-13
957,1.4837731048917044e-13
958,1.4824124694026005e-13
959,1.4810530816305015e-13
960,1.479694940431238e-13
961,1.478338044661689e-13
962,1.476982393179783e-13
963,1.4756279848444947e-13
964,1.4742748185158461e-13
965,1.472922893054904e-13
966,1.471572207323779e-13
967,1.4702227601856267e-13
968,1.4688745505046443e-13
969,1.4675275771460701e-13
970,1.466181838976184e-13
971,1.4648373348623046e-13
972,1.46349406367279e-13
973,1.4621520242770355e-13
974,1.4608112155454732e-13
975,1.4594716363495713e-13
976,1.4581332855618323e-13
977,1.4567961620557936e-13
978,1.4554602647060245e-13
979,1.4541255923881274e-13
980,1.4527921439787349e-13
981,1.45145991835551e-13
982,1.4501289143971455e-13
983,1.448799130983361e-13
984,1.447470566994905e-13
985,1.4461432213135518e-13
986,1.4448170928221005e-13
987,1.4434921804043755e-13
988,1.4421684829452245e-13
989,1.4408459993305177e-13
990,1.4395247284471467e-13
991,1.4382046691830244e-13
992,1.4368858204270836e-13
993,1.435568181069275e-13
994,1.4342517500005684e-13
995,1.4329365261129497e-13
996,1.431622508299421e-13
997,1.4303096954540002e-13
998,1.4289980864717185e-13
999,1.4276876802486212e-13
1000,1.426378475681765e-13
