,AGWP_co2
636,6.254079371143068e-14
637,6.261879013482937e-14
638,6.269675526128386e-14
639,6.277468915590431e-14
640,6.285259188362779e-14
641,6.29304635092191e-14
642,6.30083040972708e-14
643,6.308611371220407e-14
644,6.3163892418269e-14
645,6.324164027954509e-14
646,6.331935735994168e-14
647,6.339704372319852e-14
648,6.347469943288611e-14
649,6.355232455240624e-14
650,6.362991914499251e-14
651,6.370748327371061e-14
652,6.378501700145898e-14
653,6.386252039096909e-14
654,6.393999350480615e-14
655,6.401743640536922e-14
656,6.409484915489202e-14
657,6.417223181544303e-14
658,6.424958444892632e-14
659,6.43269071170817e-14
660,6.440419988148526e-14
661,6.448146280354995e-14
662,6.455869594452581e-14
663,6.463589936550057e-14
664,6.471307312740004e-14
665,6.479021729098855e-14
666,6.486733191686944e-14
667,6.494441706548542e-14
668,6.502147279711906e-14
669,6.50984991718933e-14
670,6.517549624977171e-14
671,6.525246409055906e-14
672,6.532940275390172e-14
673,6.540631229928815e-14
674,6.54831927860492e-14
675,6.556004427335866e-14
676,6.563686682023366e-14
677,6.571366048553503e-14
678,6.579042532796788e-14
679,6.586716140608184e-14
680,6.594386877827161e-14
681,6.60205475027774e-14
682,6.609719763768523e-14
683,6.617381924092746e-14
684,6.625041237028318e-14
685,6.63269770833786e-14
686,6.640351343768754e-14
687,6.648002149053172e-14
688,6.655650129908135e-14
689,6.663295292035542e-14
690,6.67093764112221e-14
691,6.67857718283992e-14
692,6.686213922845463e-14
693,6.693847866780672e-14
694,6.70147902027247e-14
695,6.7091073889329e-14
696,6.716732978359181e-14
697,6.724355794133731e-14
698,6.731975841824225e-14
699,6.739593126983631e-14
700,6.747207655150231e-14
701,6.754819431847689e-14
702,6.762428462585074e-14
703,6.770034752856905e-14
704,6.77763830814319e-14
705,6.785239133909464e-14
706,6.792837235606833e-14
707,6.800432618672006e-14
708,6.808025288527343e-14
709,6.815615250580891e-14
710,6.823202510226416e-14
711,6.830787072843452e-14
712,6.838368943797335e-14
713,6.845948128439245e-14
714,6.853524632106239e-14
715,6.861098460121294e-14
716,6.868669617793346e-14
717,6.876238110417323e-14
718,6.883803943274186e-14
719,6.891367121630976e-14
720,6.898927650740837e-14
721,6.906485535843063e-14
722,6.914040782163127e-14
723,6.921593394912736e-14
724,6.929143379289854e-14
725,6.936690740478741e-14
726,6.944235483649991e-14
727,6.951777613960579e-14
728,6.959317136553882e-14
729,6.966854056559728e-14
730,6.974388379094431e-14
731,6.981920109260822e-14
732,6.989449252148289e-14
733,6.996975812832823e-14
734,7.004499796377036e-14
735,7.012021207830213e-14
736,7.019540052228343e-14
737,7.027056334594149e-14
738,7.034570059937141e-14
739,7.042081233253632e-14
740,7.049589859526783e-14
741,7.057095943726655e-14
742,7.064599490810204e-14
743,7.07210050572136e-14
744,7.079598993391038e-14
745,7.087094958737179e-14
746,7.094588406664789e-14
747,7.102079342065967e-14
748,7.109567769819949e-14
749,7.117053694793134e-14
750,7.124537121839129e-14
751,7.132018055798771e-14
752,7.139496501500176e-14
753,7.146972463758762e-14
754,7.154445947377294e-14
755,7.161916957145905e-14
756,7.169385497842144e-14
757,7.176851574231005e-14
758,7.184315191064955e-14
759,7.191776353083984e-14
760,7.19923506501562e-14
761,7.206691331574975e-14
762,7.214145157464774e-14
763,7.221596547375395e-14
764,7.229045505984893e-14
765,7.236492037959044e-14
766,7.243936147951372e-14
767,7.251377840603176e-14
768,7.258817120543582e-14
769,7.266253992389555e-14
770,7.273688460745952e-14
771,7.281120530205537e-14
772,7.288550205349027e-14
773,7.295977490745117e-14
774,7.303402390950517e-14
775,7.310824910509987e-14
776,7.318245053956357e-14
777,7.325662825810573e-14
778,7.333078230581729e-14
779,7.340491272767089e-14
780,7.34790195685213e-14
781,7.355310287310565e-14
782,7.362716268604376e-14
783,7.370119905183866e-14
784,7.377521201487652e-14
785,7.384920161942735e-14
786,7.392316790964511e-14
